predicted_price_lr,difference_lr,percent_change_lr
333719.7410414845,-44719.74104148452,-15.47
2112300.883924043,3362696.116075957,61.42
1184963.035741189,-34963.03574118903,-3.04
612204.8329859257,-2304.832985925721,-0.38
405942.8505775824,-175942.85057758237,-76.5
618176.2996741578,-179176.29967415775,-40.81
396064.54279850493,-21064.542798504932,-5.62
316841.3237700586,-91841.32377005857,-40.82
1171732.4200908227,-402732.42009082274,-52.37
366300.69829674554,-24300.69829674554,-7.11
611750.1008403182,103249.89915968175,14.44
695798.1235096676,-145798.12350966758,-26.51
283687.7506456368,76312.24935436319,21.2
449302.7920313461,-164402.79203134612,-57.71
649236.2849358383,-369336.2849358383,-131.95
550514.239574638,-136614.23957463796,-33.01
1008970.9571447347,-13970.957144734683,-1.4
370470.55312390556,44529.446876094444,10.73
528591.9326670107,56408.0673329893,9.64
569952.5367711892,180047.4632288108,24.01
445257.450568842,-166257.450568842,-59.59
385162.7673770406,-175162.76737704058,-83.41
448984.3328644817,-79984.33286448172,-21.68
269139.1002549527,60760.899745047325,18.42
326918.15688111563,-121918.15688111563,-59.47
605388.2066636996,183611.7933363004,23.27
809757.6747648811,-160757.67476488114,-24.77
285821.18376397854,-135821.18376397854,-90.55
699172.510694803,-100172.51069480297,-16.72
380032.1927296573,-80033.19272965728,-26.68
791498.1788551838,-291698.17885518377,-58.36
400302.65271568834,-161303.65271568834,-67.49
760193.3504020518,154806.64959794818,16.92
1073983.9652554817,-374983.96525548166,-53.65
871659.0022194537,-273659.0022194537,-45.76
623746.0552872901,-158746.05528729013,-34.14
472637.4565949219,-167637.45659492188,-54.96
417911.9764960783,-163911.9764960783,-64.53
1323667.8416617499,-24667.841661749873,-1.9
946814.4958414144,-367814.49584141443,-63.53
499917.5828068957,-210017.58280689572,-72.44
391228.9059810878,-12228.905981087824,-3.23
890278.138370374,-240378.13837037398,-36.99
880273.6362788358,-355273.6362788358,-67.67
500293.71088192635,-141293.71088192635,-39.36
1054177.9729693944,940822.0270306056,47.16
616307.2765221817,98592.7234778183,13.79
786310.1277361528,-311313.12773615285,-65.54
226725.35350517253,108274.64649482747,32.32
274781.4058796151,-74831.40587961511,-37.43
287078.791337461,-57078.79133746098,-24.82
464269.3900972146,-59269.39009721461,-14.63
1098322.3130589598,1677.6869410402142,0.15
483610.6975102199,75889.30248978012,13.56
401635.55943547026,-202635.55943547026,-101.83
426078.439011276,-46178.439011276,-12.16
1883934.3253671594,-483934.32536715944,-34.57
180556.30760577368,13443.692394226324,6.93
311160.7537963169,18839.246203683084,5.71
1181058.5303948256,-131058.53039482562,-12.48
1595024.2540488972,1054975.7459511028,39.81
361520.82565663964,-204520.82565663964,-130.27
409077.9669043643,-73808.9669043643,-22.01
799632.1259347156,-264632.1259347156,-49.46
1164271.5417547247,424728.4582452753,26.73
394919.58956462494,4080.410435375059,1.02
689358.1316430042,-183511.13164300425,-36.28
551935.9792070466,22951.020792953437,3.99
1304228.4665040215,390771.53349597845,23.05
759477.2110003384,440522.78899966157,36.71
343342.39494655584,-94342.39494655584,-37.89
343520.21224785945,-33520.212247859454,-10.81
1131979.849763013,-381979.84976301296,-50.93
964550.7684890123,-94551.76848901226,-10.87
1209839.868003426,-384839.8680034259,-46.65
364051.2502099562,110948.7497900438,23.36
384868.8059829378,-145868.8059829378,-61.03
1250787.7816234892,248212.21837651078,16.56
1145435.1580038592,1344564.8419961408,54.0
389801.05192628433,-257941.05192628433,-195.62
494721.2304339681,-99721.23043396813,-25.25
458237.20829666615,-328337.20829666615,-252.76
840941.3943386797,-225941.39433867973,-36.74
746933.8092593697,-189933.80925936974,-34.1
1039821.582316576,-64821.58231657604,-6.65
1417058.9659344777,-17158.965934477746,-1.23
292783.20415870124,-92783.20415870124,-46.39
1907311.8247982627,842688.1752017373,30.64
143406.63754640543,456093.3624535946,76.08
423497.2361648751,26502.763835124904,5.89
485403.4496640286,-136403.4496640286,-39.08
1110163.287775469,214836.712224531,16.21
529306.8705342321,20693.12946576788,3.76
331335.7166479521,-113835.7166479521,-52.34
609943.8162823815,255056.18371761846,29.49
528849.4682775608,36150.53172243922,6.4
959305.2748226018,-59405.274822601816,-6.6
589687.7016901264,-252697.70169012644,-74.99
204971.55654241494,14928.443457585061,6.79
407348.41512806364,-68448.41512806364,-20.2
485006.1529600641,59993.84703993588,11.01
354626.7007348512,-192686.70073485118,-118.99
339685.87136307196,-206685.87136307196,-155.4
544773.7166002982,4726.283399701817,0.86
733892.7726559127,151107.22734408733,17.07
705025.9140419064,93474.08595809364,11.71
403343.04091576184,-153443.04091576184,-61.4
508759.22219273425,-108759.22219273425,-27.19
1552718.0183955668,446281.98160443315,22.33
205502.7182561874,11497.281743812608,5.3
1229719.5697934707,-529719.5697934707,-75.67
451292.95359276165,398607.04640723835,46.9
409801.6246967984,125198.37530320161,23.4
726741.323804037,-276741.32380403695,-61.5
607380.1347282806,-303380.1347282806,-99.8
1164316.3505042302,235683.64949576976,16.83
498438.43961576116,-18438.439615761163,-3.84
643650.6955022828,-206150.69550228282,-47.12
320758.9539015249,-95758.95390152489,-42.56
670682.7487648616,178817.2512351384,21.05
434910.41604159377,-160010.41604159377,-58.21
657796.0518778234,-107896.05187782343,-19.62
721755.2574033577,-321855.25740335765,-80.48
1245035.5473557161,-420035.5473557161,-50.91
989826.1258043514,-190826.1258043514,-23.88
1527135.722675471,-1202135.722675471,-369.89
395171.1650565581,-275271.1650565581,-229.58
233405.95977761527,-74405.95977761527,-46.8
513330.0584612384,36669.9415387616,6.67
588938.8358101544,-38938.83581015444,-7.08
846089.4159694847,-281189.4159694847,-49.78
617764.9473983541,-92764.94739835407,-17.67
1079807.4517181388,-364807.45171813876,-51.02
