predicted_price_lr,difference_lr,percent_change_lr
442434.7041662992,-157434.7041662992,-55.24
1301823.886402392,-502823.88640239206,-62.93
296384.1842818479,-97384.1842818479,-48.94
620824.5293425741,1975.4706574259326,0.32
721005.5563464304,-292005.55634643044,-68.07
615804.5849639364,-355904.58496393636,-136.94
487887.8657075225,141112.1342924775,22.43
490955.1347364534,34044.865263546584,6.48
791158.4206856131,-446158.42068561306,-129.32
403081.78452782147,-148081.78452782147,-58.07
348566.61301180185,-66340.61301180185,-23.51
321662.0595380757,-141662.0595380757,-78.7
279426.8221262521,-94526.82212625211,-51.12
807883.6121994569,-57883.6121994569,-7.72
685322.8451642822,-210322.84516428225,-44.28
325570.7121252732,-106570.71212527319,-48.66
739352.2986536957,-446052.29865369573,-152.08
390934.5595692373,-160935.5595692373,-69.97
639804.8064626069,-224804.80646260688,-54.17
318751.997944925,-143751.99794492498,-82.14
511123.7431686162,-112223.7431686162,-28.13
611496.525152995,-221596.52515299502,-56.83
531396.06170779,4773.93829220999,0.89
999504.9795331585,-334504.9795331585,-50.3
273842.3545522415,-93942.35455224151,-52.22
568697.9358709231,-48797.9358709231,-9.39
528017.2165609272,-186963.21656092722,-54.82
626562.5292053334,-198562.52920533344,-46.39
303796.7927286497,-118796.79272864969,-64.21
480162.7773594465,-65162.77735944651,-15.7
500575.84623206407,-200675.84623206407,-66.91
377068.0172633929,-127168.01726339292,-50.89
868106.8276562621,-143106.8276562621,-19.74
298157.3139047143,-100157.3139047143,-50.58
621060.295201991,-71060.29520199099,-12.92
357228.72728699865,-177328.72728699865,-98.57
387986.37665911927,-32986.37665911927,-9.29
403750.150491918,-93750.15049191797,-30.24
333779.65274723247,-178779.65274723247,-115.34
437845.2447450892,-248845.2447450892,-131.66
1119046.9778055754,-94046.97780557536,-9.18
521595.52681560814,-181695.52681560814,-53.46
658942.893469889,-143942.89346988895,-27.95
476988.4992840332,148011.5007159668,23.68
344299.1819672999,-4399.181967299897,-1.29
422435.6797671388,227564.3202328612,35.01
320936.55058110855,-150936.55058110855,-88.79
1229380.2959219154,-469480.29592191544,-61.78
316449.07572030183,-101949.07572030183,-47.53
464104.4217085019,-189104.42170850188,-68.77
1059131.0596338725,-471131.0596338725,-80.12
414507.17728510266,-239607.17728510266,-137.0
908086.9156789287,28913.084321071277,3.09
396314.0298565673,198685.97014343273,33.39
376149.0330924648,-206249.0330924648,-121.39
747320.6385180021,-122320.63851800212,-19.57
363869.14445578074,-128869.14445578074,-54.84
519872.521569062,-159972.52156906202,-44.45
612145.2638572869,-262145.2638572869,-74.9
490888.3058206283,-41888.3058206283,-9.33
1338718.7677730802,460281.23222691985,25.59
1265209.5338354441,233790.46616455587,15.6
697994.9764786602,-272094.97647866025,-63.89
850144.5660100146,-255144.56601001462,-42.88
700100.5233319125,-75100.52333191247,-12.02
676543.294406384,52456.705593616,7.2
900407.3766254458,92592.62337455421,9.32
325764.5803778223,-126764.58037782228,-63.7
653978.1354066497,-287988.1354066497,-78.69
152836.75022854283,87163.24977145717,36.32
269751.5201013386,-49751.520101338625,-22.61
419544.1133936476,-154544.1133936476,-58.32
697029.279809806,-252029.27980980603,-56.64
456596.8212616639,-141596.82126166392,-44.95
383140.38702546526,-288140.38702546526,-303.31
290424.3261153288,-110524.32611532882,-61.44
652509.169471574,82490.83052842598,11.22
366067.49896901124,63832.50103098876,14.85
2949474.4226287417,1150525.5773712583,28.06
273283.1177059817,-206383.1177059817,-308.49
479176.82740180567,-94176.82740180567,-24.46
384730.78174763126,-189730.78174763126,-97.3
1345112.507226335,-120112.50722633488,-9.81
251510.55066512106,-56610.55066512106,-29.05
600567.5552440668,-140577.55524406675,-30.56
320050.97990446584,-90150.97990446584,-39.21
333533.1029288075,-44533.10292880749,-15.41
2117640.1621388965,3357356.8378611035,61.32
1188682.9743225607,-38682.97432256071,-3.36
613034.6154332219,-3134.6154332219157,-0.51
406788.9107652325,-176788.91076523252,-76.86
617818.135805184,-178818.13580518402,-40.73
400046.640395524,-25046.64039552398,-6.68
315631.57739833975,-90631.57739833975,-40.28
1173997.2574390906,-404997.25743909064,-52.67
366053.72091029305,-24053.72091029305,-7.03
611985.9404510313,103014.05954896868,14.41
697227.7720218948,-147227.7720218948,-26.77
285863.7900254135,74136.2099745865,20.59
450843.0471350299,-165943.04713502992,-58.25
649885.753831906,-369985.753831906,-132.18
553024.9685535701,-139124.9685535701,-33.61
1008862.2039066141,-13862.2039066141,-1.39
370534.6963857035,44465.303614296485,10.71
529250.0084332987,55749.99156670133,9.53
569499.531183721,180500.46881627897,24.07
443579.0272686421,-164579.0272686421,-58.99
383136.75809363276,-173136.75809363276,-82.45
450506.9616827257,-81506.9616827257,-22.09
268730.31086912565,61169.68913087435,18.54
326407.70160744665,-121407.70160744665,-59.22
604219.256049243,184780.74395075697,23.42
808734.9472105962,-159734.94721059618,-24.61
286774.1829542583,-136774.1829542583,-91.18
695872.242392479,-96872.24239247898,-16.17
377962.68759104516,-77963.68759104516,-25.99
791752.3690894046,-291952.3690894046,-58.41
401360.23085400835,-162361.23085400835,-67.93
762403.002296586,152596.99770341394,16.68
1074963.233067202,-375963.2330672019,-53.79
871814.4897159789,-273814.48971597885,-45.79
626607.9273941135,-161607.9273941135,-34.75
470668.995658651,-165668.995658651,-54.32
418310.5162993588,-164310.5162993588,-64.69
1328770.2506559226,-29770.250655922573,-2.29
946458.6683545816,-367458.6683545816,-63.46
498741.39943233365,-208841.39943233365,-72.04
391198.779720064,-12198.77972006402,-3.22
892182.9550085563,-242282.95500855625,-37.28
882099.5122447484,-357099.5122447484,-68.02
499619.76298241783,-140619.76298241783,-39.17
1056376.631699934,938623.3683000661,47.05
617160.873449146,97739.12655085395,13.67
783208.592783876,-308211.592783876,-64.89
227772.8586171167,107227.1413828833,32.01
274354.6671405048,-74404.66714050481,-37.21
285358.87092548935,-55358.87092548935,-24.07
461106.31005837,-56106.31005837,-13.85
1102145.134120795,-2145.1341207949445,-0.2
481940.3231203249,77559.67687967513,13.86
398902.8613416236,-199902.8613416236,-100.45
427505.03724194225,-47605.03724194225,-12.53
1880524.3431236167,-480524.34312361665,-34.32
162609.480269623,31390.51973037701,16.18
308894.86127361166,21105.138726388337,6.4
1182125.0756662327,-132125.07566623273,-12.58
1604357.4605365118,1045642.5394634882,39.46
360198.8178729636,-203198.8178729636,-129.43
406605.33294739807,-71336.33294739807,-21.28
799115.5248352587,-264115.5248352587,-49.37
1169711.9869582043,419288.0130417957,26.39
396131.8954925495,2868.10450745048,0.72
690137.0777155571,-184290.07771555707,-36.43
552699.5610769717,22187.438923028298,3.86
1303698.037004131,391301.9629958691,23.09
758126.1260867496,441873.8739132504,36.82
343377.5532737551,-94377.55327375513,-37.9
342442.67774294503,-32442.67774294503,-10.47
1134224.4399135993,-384224.4399135993,-51.23
966442.4864331683,-96443.48643316829,-11.09
1209506.6735031807,-384506.67350318073,-46.61
363670.2006484978,111329.79935150221,23.44
383936.4450642138,-144936.44506421383,-60.64
1249407.716539297,249592.28346070298,16.65
1150659.0067103577,1339340.9932896423,53.79
385591.56363461004,-253731.56363461004,-192.42
494650.31254023546,-99650.31254023546,-25.23
461238.31044751965,-331338.31044751965,-255.07
841178.8087396418,-226178.8087396418,-36.78
743760.6407838336,-186760.64078383357,-33.53
1045708.1057125849,-70708.10571258492,-7.25
1429744.7941500102,-29844.794150010217,-2.13
288009.70644537685,-88009.70644537685,-44.0
1912126.9400508313,837873.0599491687,30.47
144793.68198844674,454706.31801155326,75.85
425033.46215462754,24966.537845372455,5.55
483602.02751503,-134602.02751503,-38.57
1111839.7514041634,213160.24859583657,16.09
533466.0860775146,16533.91392248543,3.01
329937.35924492544,-112437.35924492544,-51.7
610230.996759624,254769.003240376,29.45
529559.6607656106,35440.339234389365,6.27
962832.1359952296,-62932.13599522959,-6.99
590192.2565060575,-253202.25650605746,-75.14
202165.83534120023,17734.164658799767,8.06
404881.50105958944,-65981.50105958944,-19.47
487066.8293165427,57933.17068345728,10.63
354521.7873047902,-192581.78730479022,-118.92
339765.04458326707,-206765.04458326707,-155.46
543242.5956586136,6257.404341386398,1.14
737534.9208086354,147465.07919136458,16.66
703362.8928113743,95137.10718862573,11.91
402773.91189812566,-152873.91189812566,-61.17
510885.1825335268,-110885.1825335268,-27.72
1552514.2812487911,446485.71875120886,22.34
200931.49939683918,16068.50060316082,7.4
1237042.5031619174,-537042.5031619174,-76.72
452783.80645851186,397116.19354148814,46.73
411307.15646118904,123692.84353881096,23.12
727068.7269101099,-277068.72691010986,-61.57
607222.7259119537,-303222.7259119537,-99.74
1169071.3431282477,230928.65687175235,16.49
501504.71041767625,-21504.71041767625,-4.48
640512.5029121598,-203012.50291215978,-46.4
320071.6369010494,-95071.63690104941,-42.25
670036.806472983,179463.19352701702,21.13
435409.13527094736,-160509.13527094736,-58.39
656849.4125802673,-106949.4125802673,-19.45
721863.2018572735,-321963.20185727347,-80.51
1240539.4271366587,-415539.4271366587,-50.37
989277.8534091545,-190277.85340915446,-23.81
1536715.5470764248,-1211715.5470764248,-372.84
396139.96125770966,-276239.96125770966,-230.39
235472.49643722177,-76472.49643722177,-48.1
511960.5208230624,38039.4791769376,6.92
589732.9535132102,-39732.953513210174,-7.22
843734.7269146418,-278834.7269146418,-49.36
613726.9773131951,-88726.97731319512,-16.9
1080204.5016653081,-365204.50166530814,-51.08
1329247.1205274642,1845752.8794725358,58.13
345911.97140272893,-185911.97140272893,-116.19
353886.59010867216,-38886.59010867216,-12.34
379018.5308557574,-94018.53085575742,-32.99
1052274.333956422,242725.66604357795,18.74
316224.46569188684,-61234.46569188684,-24.01
645949.2398704384,-25949.239870438352,-4.19
408434.41074573784,189565.58925426216,31.7
571796.0623446468,-76796.06234464678,-15.51
1134050.478544916,-34050.478544916026,-3.1
316315.030584604,-101315.03058460401,-47.12
289192.41231724364,90607.58768275636,23.86
394522.8240994257,4477.175900574308,1.12
719480.2843270111,-179480.2843270111,-33.24
651191.9423593753,-176191.9423593753,-37.09
814229.5147173423,-125229.51471734233,-18.18
242833.1030844343,-35333.10308443429,-17.03
448207.3348200903,-49207.33482009033,-12.33
622504.3354982149,-232604.33549821493,-59.66
1157790.417381583,-182790.417381583,-18.75
363849.58123770286,-38849.58123770286,-11.95
489238.8722121781,-209238.87221217807,-74.73
454879.04262495576,25120.957375044236,5.23
1319213.128757901,-569313.128757901,-75.92
660478.453738336,-255478.453738336,-63.08
848242.4968336063,-98242.49683360627,-13.1
450544.49042931804,-41544.490429318044,-10.16
501099.3890025513,-44099.389002551325,-9.65
500851.3654182232,-235851.3654182232,-89.0
288741.50529088033,-83741.50529088033,-40.85
1059539.1183318717,-437039.1183318717,-70.21
715666.3844923778,-290666.38449237775,-68.39
317577.821888427,-142577.82188842702,-81.47
409330.01211398747,-234330.01211398747,-133.9
968968.3621706284,126031.63782937161,11.51
587413.2424681124,-287413.2424681124,-95.8
435028.541157295,-85028.541157295,-24.29
664749.8707741834,-274849.8707741834,-70.49
1652460.8844117587,-402460.88441175874,-32.2
727884.3470385799,-152884.34703857987,-26.59
541675.0909193452,-31675.09091934515,-6.21
355958.48483811785,-100958.48483811785,-39.59
389619.95644542715,-100119.95644542715,-34.58
367190.6969721634,52809.303027836606,12.57
611707.8743601674,38292.12563983258,5.89
570103.3623420908,-220103.3623420908,-62.89
1160971.036691457,-686471.036691457,-144.67
4072669.5597649156,877330.4402350844,17.72
1138043.7386841418,186956.26131585822,14.11
284150.6068600486,-79150.6068600486,-38.61
336174.9731592783,-121174.97315927828,-56.36
810017.2723449706,-187017.2723449706,-30.02
357270.1459099029,62729.85409009713,14.94
1062263.102818961,337736.897181039,24.12
558634.0557929939,-316434.05579299387,-130.65
523658.91198842344,-128658.91198842344,-32.57
426009.62507972773,-101009.62507972773,-31.08
