predict_price_nn,difference_nn,percent_change_nn
376779.78,62220.21875,14.17
451432.62,-76432.625,-20.38
281094.78,-56094.78125,-24.93
793703.25,-24703.25,-3.21
330383.6,11616.40625,3.4
531378.7,183621.3125,25.68
633382.25,-83382.25,-15.16
393082.4,-33082.40625,-9.19
280786.53,4113.46875,1.44
484275.2,-204375.1875,-73.02
506845.12,-92945.125,-22.46
944862.1,50137.875,5.04
506563.56,-91563.5625,-22.06
586629.25,-1629.25,-0.28
523883.6,226116.40625,30.15
275919.06,3080.9375,1.1
372604.56,-162604.5625,-77.43
416067.16,-47067.15625,-12.76
364991.9,-35091.90625,-10.64
222124.39,-17124.390625,-8.35
647439.4,141560.625,17.94
928135.5,-279135.5,-43.01
300332.28,-150332.28125,-100.22
630165.4,-31165.375,-5.2
278994.03,21004.96875,7.0
795959.75,-296159.75,-59.26
272064.66,-33065.65625,-13.84
739477.3,175522.6875,19.18
950438.5,-251438.5,-35.97
971966.0,-373966.0,-62.54
554721.8,-89721.8125,-19.3
296943.34,8056.65625,2.64
354845.78,-100845.78125,-39.7
1596333.8,-297333.75,-22.89
1062231.1,-483231.125,-83.46
371181.0,-81281.0,-28.04
298917.44,80082.5625,21.13
663229.06,-13329.0625,-2.05
719354.75,-194354.75,-37.02
466328.9,-107328.90625,-29.9
1394413.5,600586.5,30.1
723201.5,-8301.5,-1.16
493735.88,-18738.875,-3.95
340730.6,-5730.59375,-1.71
343193.53,-143243.53125,-71.64
210041.61,19958.390625,8.68
542260.8,-137260.8125,-33.89
1164270.2,-64270.25,-5.84
500399.06,59100.9375,10.56
241311.34,-42311.34375,-21.26
341655.16,38244.84375,10.07
1885907.2,-485907.25,-34.71
257849.8,-63849.796875,-32.91
314215.6,15784.40625,4.78
1500457.1,-450457.125,-42.9
2074534.8,575465.25,21.72
343261.47,-186261.46875,-118.64
289923.03,45345.96875,13.53
540102.0,-5102.0,-0.95
1215109.1,373890.875,23.53
307751.8,91248.1875,22.87
434655.9,71191.09375,14.07
529553.1,45333.875,7.89
1490520.9,204479.125,12.06
461941.16,738058.84375,61.5
251267.17,-2267.171875,-0.91
324680.53,-14680.53125,-4.74
1012761.2,-262761.1875,-35.03
796294.3,73704.6875,8.47
1036997.6,-211997.625,-25.7
403851.03,71148.96875,14.98
220391.7,18608.296875,7.79
1598710.5,-99710.5,-6.65
914326.1,1575673.875,63.28
308033.47,-176173.46875,-133.61
334594.9,60405.09375,15.29
423395.53,-293495.53125,-225.94
589060.2,25939.8125,4.22
862827.25,-305827.25,-54.91
971643.4,3356.625,0.34
1761056.0,-361156.0,-25.8
207925.33,-7925.328125,-3.96
2002173.9,747826.125,27.19
144671.27,454828.734375,75.87
417652.94,32347.0625,7.19
325151.5,23848.5,6.83
1193107.4,131892.625,9.95
515156.44,34843.5625,6.34
300836.12,-83336.125,-38.32
433254.4,431745.59375,49.91
542662.5,22337.5,3.95
886260.4,13639.625,1.52
529654.75,-192664.75,-57.17
266187.53,-46287.53125,-21.05
286845.34,52054.65625,15.36
407765.25,137234.75,25.18
210461.53,-48521.53125,-29.96
236166.42,-103166.421875,-77.57
354026.94,195473.0625,35.57
669409.94,215590.0625,24.36
612146.9,186353.125,23.34
263302.5,-13402.5,-5.36
493331.78,-93331.78125,-23.33
2121920.0,-122920.0,-6.15
225313.95,-8313.953125,-3.83
1018697.94,-318697.9375,-45.53
512528.53,337371.46875,39.7
595326.44,-60326.4375,-11.28
453323.3,-3323.3125,-0.74
557727.75,-253727.75,-83.46
1453732.0,-53732.0,-3.84
477610.03,2389.96875,0.5
357161.84,80338.15625,18.36
249985.77,-24985.765625,-11.1
667902.4,181597.625,21.38
368891.84,-93991.84375,-34.19
779278.5,-229378.5,-41.71
467422.88,-67522.875,-16.88
1137985.6,-312985.625,-37.94
948202.6,-149202.625,-18.67
1933136.9,-1608136.875,-494.81
225970.42,-106070.421875,-88.47
252049.34,-93049.34375,-58.52
577899.2,-27899.1875,-5.07
660230.9,-110230.875,-20.04
1149463.1,-584563.125,-103.48
510985.22,14014.78125,2.67
879363.1,-164363.125,-22.99
1541268.4,1633731.625,51.46
306473.72,-146473.71875,-91.55
366583.28,-51583.28125,-16.38
251471.8,33528.203125,11.76
1275167.0,19833.0,1.53
238276.36,16713.640625,6.55
652859.3,-32859.3125,-5.3
449586.0,148414.0,24.82
415451.8,79548.1875,16.07
1228151.9,-128151.875,-11.65
245761.61,-30761.609375,-14.31
279213.06,100586.9375,26.48
429720.44,-30720.4375,-7.7
894496.8,-354496.8125,-65.65
603185.2,-128185.1875,-26.99
638948.06,50051.9375,7.26
217479.61,-9979.609375,-4.81
419006.53,-20006.53125,-5.01
392694.28,-2794.28125,-0.72
1328559.8,-353559.75,-36.26
357762.84,-32762.84375,-10.08
457010.34,-177010.34375,-63.22
510598.84,-30598.84375,-6.37
970323.4,-220423.375,-29.39
460655.94,-55655.9375,-13.74
754612.1,-4612.125,-0.61
487432.78,-78432.78125,-19.18
368582.25,88417.75,19.35
463272.7,-198272.6875,-74.82
205001.45,-1.453125,-0.0
889611.75,-267111.75,-42.91
490170.28,-65170.28125,-15.33
242092.36,-67092.359375,-38.34
314032.38,-139032.375,-79.45
1067477.5,27522.5,2.51
564792.1,-264792.125,-88.26
422107.47,-72107.46875,-20.6
652906.6,-263006.625,-67.45
2144640.8,-894640.75,-71.57
530251.9,44748.125,7.78
614467.1,-104467.125,-20.48
228277.77,26722.234375,10.48
350308.12,-60808.125,-21.0
293873.4,126126.59375,30.03
690068.7,-40068.6875,-6.16
370592.97,-20592.96875,-5.88
1321198.8,-846698.75,-178.44
5242209.0,-292209.0,-5.9
