predict_price_nn,difference_nn,percent_change_nn
279546.4,-54546.40625,-24.24
794528.75,-25528.75,-3.32
318256.97,23743.03125,6.94
528989.44,186010.5625,26.02
672232.44,-122232.4375,-22.22
379655.94,-19655.9375,-5.46
272731.44,12168.5625,4.27
454998.06,-175098.0625,-62.56
435954.75,-22054.75,-5.33
1012712.06,-17712.0625,-1.78
502012.1,-87012.09375,-20.97
558206.7,26793.3125,4.58
596210.4,153789.625,20.51
274777.28,4222.71875,1.51
350637.2,-140637.1875,-66.97
356635.8,12364.1875,3.35
296301.16,33598.84375,10.18
234357.66,-29357.65625,-14.32
648935.3,140064.6875,17.75
913755.94,-264755.9375,-40.79
339243.66,-189243.65625,-126.16
584280.6,14719.375,2.46
298250.38,1748.625,0.58
623702.06,-123902.0625,-24.79
250913.17,-11914.171875,-4.99
926600.7,-11600.6875,-1.27
875085.7,-176085.6875,-25.19
871549.75,-273549.75,-45.74
554144.8,-89144.8125,-19.17
300811.3,4188.6875,1.37
403801.88,-149801.875,-58.98
1548333.2,-249333.25,-19.19
864243.0,-285243.0,-49.26
358126.1,-68226.09375,-23.53
313993.16,65006.84375,17.15
674500.7,-24600.6875,-3.79
764308.25,-239308.25,-45.58
447048.75,-88048.75,-24.53
1456006.6,538993.375,27.02
748641.6,-33741.625,-4.72
509725.62,-34728.625,-7.31
326895.8,8104.1875,2.42
279278.7,-79328.6875,-39.67
217332.8,12667.203125,5.51
473950.25,-68950.25,-17.02
1200057.4,-100057.375,-9.1
526219.75,33280.25,5.95
269757.03,-70757.03125,-35.56
338299.75,41600.25,10.95
2083471.1,-683471.125,-48.82
287637.78,-93637.78125,-48.27
343103.03,-13103.03125,-3.97
1524555.2,-474555.25,-45.2
2113352.5,536647.5,20.25
312440.72,-155440.71875,-99.01
338892.25,-3623.25,-1.08
534866.8,133.1875,0.02
1381228.1,207771.875,13.08
289634.4,109365.59375,27.41
457530.47,48316.53125,9.55
565519.0,9368.0,1.63
1390579.6,304420.375,17.96
377009.03,822990.96875,68.58
255257.36,-6257.359375,-2.51
304717.94,5282.0625,1.7
1046800.2,-296800.1875,-39.57
778568.9,91430.125,10.51
985830.0,-160830.0,-19.49
424456.3,50543.6875,10.64
220068.7,18931.296875,7.92
1714014.1,-215014.125,-14.34
830050.9,1659949.125,66.66
350277.75,-218417.75,-165.64
332422.28,62577.71875,15.84
368256.56,-238356.5625,-183.49
573623.44,41376.5625,6.73
708299.7,-151299.6875,-27.16
949725.94,25274.0625,2.59
1787862.4,-387962.375,-27.71
277199.1,-77199.09375,-38.6
1859386.1,890613.875,32.39
291421.44,308078.5625,51.39
431939.34,18060.65625,4.01
307025.4,41974.59375,12.03
1278720.1,46279.875,3.49
585566.4,-35566.375,-6.47
404278.8,-186778.8125,-85.88
402482.9,462517.09375,53.47
537912.8,27087.1875,4.79
951583.7,-51683.6875,-5.74
469570.28,-132580.28125,-39.34
262164.06,-42264.0625,-19.22
295940.75,42959.25,12.68
431422.38,113577.625,20.84
186324.72,-24384.71875,-15.06
251008.83,-118008.828125,-88.73
293226.75,256273.25,46.64
724473.44,160526.5625,18.14
567486.25,231013.75,28.93
270170.0,-20270.0,-8.11
559821.75,-159821.75,-39.96
2325479.0,-326479.0,-16.33
199914.42,17085.578125,7.87
990207.94,-290207.9375,-41.46
551893.56,298006.4375,35.06
563509.9,-28509.875,-5.33
400613.94,49386.0625,10.97
419563.9,-115563.90625,-38.01
1562078.0,-162078.0,-11.58
506854.8,-26854.8125,-5.59
396972.8,40527.1875,9.26
250399.47,-25399.46875,-11.29
664544.0,184956.0,21.77
360649.12,-85749.125,-31.19
690842.0,-140942.0,-25.63
478647.38,-78747.375,-19.69
1127412.0,-302412.0,-36.66
1075537.8,-276537.75,-34.61
1945423.2,-1620423.25,-498.59
221827.19,-101927.1875,-85.01
235323.98,-76323.984375,-48.0
532921.7,17078.3125,3.11
612184.5,-62184.5,-11.31
860947.56,-296047.5625,-52.41
580169.8,-55169.8125,-10.51
832220.9,-117220.875,-16.39
1625456.1,1549543.875,48.8
248175.62,-88175.625,-55.11
344540.06,-29540.0625,-9.38
253397.69,31602.3125,11.09
1464757.0,-169757.0,-13.11
271292.5,-16302.5,-6.39
586633.44,33366.5625,5.38
374352.3,223647.6875,37.4
415732.22,79267.78125,16.01
1222655.9,-122655.875,-11.15
263139.6,-48139.59375,-22.39
307302.38,72497.625,19.09
412372.1,-13372.09375,-3.35
684912.56,-144912.5625,-26.84
649766.4,-174766.375,-36.79
639541.4,49458.625,7.18
254066.67,-46566.671875,-22.44
432345.66,-33345.65625,-8.36
387173.62,2726.375,0.7
1485404.6,-510404.625,-52.35
366247.4,-41247.40625,-12.69
403083.56,-123083.5625,-43.96
513697.56,-33697.5625,-7.02
962236.44,-212336.4375,-28.32
440746.06,-35746.0625,-8.83
780621.9,-30621.875,-4.08
465251.1,-56251.09375,-13.75
416785.72,40214.28125,8.8
389372.72,-124372.71875,-46.93
206064.98,-1064.984375,-0.52
789014.7,-166514.6875,-26.75
487137.6,-62137.59375,-14.62
241112.83,-66112.828125,-37.78
273699.84,-98699.84375,-56.4
1069506.4,25493.625,2.33
448962.16,-148962.15625,-49.65
446335.66,-96335.65625,-27.52
494028.6,-104128.59375,-26.71
2307860.0,-1057860.0,-84.63
551707.25,23292.75,4.05
574934.94,-64934.9375,-12.73
244369.98,10630.015625,4.17
321279.22,-31779.21875,-10.98
389951.03,30048.96875,7.15
656321.94,-6321.9375,-0.97
345956.2,4043.8125,1.16
1081423.5,-606923.5,-127.91
5633953.0,-683953.0,-13.82
1446622.0,-121622.0,-9.18
208118.89,-3118.890625,-1.52
212965.08,2034.921875,0.95
711202.2,-88202.1875,-14.16
412895.38,7104.625,1.69
1221106.6,178893.375,12.78
511845.44,-269645.4375,-111.33
359007.56,35992.4375,9.11
392093.6,-67093.59375,-20.64
467000.66,17999.34375,3.71
394928.56,-85028.5625,-27.44
617268.4,-137368.375,-28.62
732102.7,-22102.6875,-3.11
531310.25,568689.75,51.7
668596.6,105403.375,13.62
757203.1,141796.875,15.77
1074133.1,50866.875,4.52
250532.9,19457.09375,7.21
574778.56,-189878.5625,-49.33
315500.56,-50500.5625,-19.06
652213.3,-32313.3125,-5.21
538105.2,-128105.1875,-31.25
302169.62,17830.375,5.57
573180.1,1021819.875,64.06
633136.7,-38136.6875,-6.41
178897.42,30102.578125,14.4
719923.06,-274923.0625,-61.78
1626868.2,-411868.25,-33.9
524964.25,85030.75,13.94
309882.28,-69882.28125,-29.12
465974.7,9025.3125,1.9
3400550.0,349450.0,9.32
598004.25,-23104.25,-4.02
2358943.0,130057.0,5.23
307172.2,-94672.1875,-44.55
259664.97,-19664.96875,-8.19
225052.66,-50052.65625,-28.6
579224.3,1195775.6875,67.37
515520.53,-135570.53125,-35.68
726297.2,-176397.1875,-32.08
761204.6,13795.375,1.78
431493.22,-32493.21875,-8.14
374981.56,4018.4375,1.06
413920.84,-192920.84375,-87.29
597496.1,52503.875,8.08
1046096.75,-364196.75,-53.41
434772.34,-44772.34375,-11.48
422723.22,-111473.21875,-35.81
459996.6,15003.40625,3.16
316362.4,-96462.40625,-43.87
1642658.2,297341.75,15.33
305190.06,-130190.0625,-74.39
788055.56,170944.4375,17.83
666604.75,-177604.75,-36.32
697410.0,67590.0,8.84
410975.38,-85975.375,-26.45
449626.78,-29726.78125,-7.08
390661.7,-100761.6875,-34.76
212657.94,-160157.9375,-305.06
2137187.0,-137287.0,-6.86
369601.9,-111601.90625,-43.26
397426.75,15473.25,3.75
710388.5,-160388.5,-29.16
1535960.5,-185960.5,-13.77
786683.44,-61683.4375,-8.51
713598.8,54401.1875,7.08
1228316.5,-363316.5,-42.0
396294.28,-132304.28125,-50.12
463354.16,86645.84375,15.75
369987.88,-30087.875,-8.85
485508.75,-45608.75,-10.37
1163333.9,-14333.875,-1.25
1185935.5,-90935.5,-8.3
539885.94,-149885.9375,-38.43
282140.8,16859.1875,5.64
393223.62,76776.375,16.34
451331.78,-39125.78125,-9.49
439296.2,-14396.1875,-3.39
1446572.0,2048428.0,58.61
1960095.8,1539904.25,44.0
306755.16,-6765.15625,-2.26
433121.1,-48221.09375,-12.53
244951.3,-5051.296875,-2.11
201924.5,-12024.5,-6.33
1774301.8,-374302.75,-26.74
358399.22,16600.78125,4.43
643917.75,5982.25,0.92
1662407.5,1587592.5,48.85
698617.0,150383.0,17.71
1119483.4,-559583.375,-99.94
378432.75,50467.25,11.77
263758.97,-68785.96875,-35.28
669588.7,245411.3125,26.82
345543.47,29456.53125,7.86
1165255.0,-175255.0,-17.7
360141.12,4858.875,1.33
595408.4,-5408.375,-0.92
1104580.8,-405580.75,-58.02
325331.5,-25331.5,-8.44
591817.94,-192317.9375,-48.14
337382.47,-48382.46875,-16.74
249208.84,8691.15625,3.37
280794.3,-75794.3125,-36.97
761369.9,-295469.875,-63.42
308902.75,-94002.75,-43.74
1369387.4,-125387.375,-10.08
577360.25,-427460.25,-285.16
673636.75,-24136.75,-3.72
257609.19,-7609.1875,-3.04
245330.42,-50330.421875,-25.81
644105.75,-94105.75,-17.11
1031544.5,258455.5,20.04
585302.7,-160302.6875,-37.72
872832.25,-62832.25,-7.76
293106.75,56793.25,16.23
639753.75,80146.25,11.13
323889.34,-114394.34375,-54.6
237683.44,12306.5625,4.92
319794.84,-104894.84375,-48.81
967902.9,77097.125,7.38
1258066.6,190933.375,13.18
512353.06,-37353.0625,-7.86
524224.22,87775.78125,14.34
1753898.5,2196101.5,55.6
309967.25,30032.75,8.83
300862.66,27137.34375,8.27
635666.56,-110666.5625,-21.08
445215.72,39784.28125,8.2
403558.72,48441.28125,10.72
2549068.2,-1124068.25,-78.88
365125.2,64774.8125,15.07
268813.1,-69813.09375,-35.08
492587.88,46412.125,8.61
259852.78,-10765.78125,-4.32
221052.75,3947.25,1.75
296704.25,-140219.25,-89.61
777957.7,-165957.6875,-27.12
1125871.5,224128.5,16.6
645163.75,84836.25,11.62
619361.1,-99461.125,-19.13
445809.16,-36809.15625,-9.0
648791.2,-319791.1875,-97.2
337777.34,-39277.34375,-13.16
291365.38,-13365.375,-4.81
1357550.1,-108550.125,-8.69
387160.88,198739.125,33.92
307566.22,47433.78125,13.36
1498241.6,-208241.625,-16.14
495585.72,-158585.71875,-47.06
530428.06,-10528.0625,-2.03
1500653.2,148346.75,9.0
385091.2,4908.8125,1.26
301865.0,23135.0,7.12
2293768.2,-894768.25,-63.96
323755.88,-12765.875,-4.1
1302906.5,197093.5,13.14
1282422.6,12577.375,0.97
274823.8,-74823.8125,-37.41
368036.28,-3136.28125,-0.86
405091.5,4908.5,1.2
276067.97,28932.03125,9.49
396932.06,52067.9375,11.6
860592.44,339407.5625,28.28
314619.28,380.71875,0.12
179632.11,-51706.109375,-40.42
698519.56,56480.4375,7.48
642223.5,-53223.5,-9.04
668131.4,-173131.375,-34.98
385237.34,-95337.34375,-32.89
384069.28,1920.71875,0.5
695971.7,54028.3125,7.2
584905.6,-70005.625,-13.6
545577.7,54422.3125,9.07
246728.62,-66728.625,-37.07
880246.5,-33246.5,-3.93
458018.3,66981.6875,12.76
225960.19,62539.8125,21.68
249338.55,-44938.546875,-21.99
539319.9,55680.125,9.36
607518.3,87481.6875,12.59
1230434.2,69565.75,5.35
1013657.1,261342.875,20.5
1165897.1,-165997.125,-16.6
372903.66,-57903.65625,-18.38
296620.9,-56620.90625,-23.59
407136.12,7863.875,1.89
372638.12,-153138.125,-69.77
291968.2,58031.8125,16.58
359354.28,-139454.28125,-63.42
413023.3,6976.6875,1.66
415360.72,33639.28125,7.49
865038.44,-115138.4375,-15.35
3049906.8,1945093.25,38.94
739789.8,-114889.8125,-18.39
285853.0,-41853.0,-17.15
269330.2,-19330.1875,-7.73
284340.1,-98840.09375,-53.28
504093.3,64906.6875,11.41
716149.8,-51149.8125,-7.69
331862.53,43137.46875,11.5
670810.94,-210810.9375,-45.83
1303235.9,-228235.875,-21.23
231823.2,-16923.203125,-7.87
315751.62,79248.375,20.06
670406.5,-70406.5,-11.73
1587684.0,12316.0,0.77
576234.06,102765.9375,15.13
235867.1,-35867.09375,-17.93
325562.75,-30562.75,-10.36
1247142.4,-57142.375,-4.8
